"诊疗编码","诊疗名称","险种限制","机构限制","就医限制","专科限制","性别限制","年龄限制","疾病限制","人次限制","次数限制","数量限制","额度限制","疗程限制","领域标识"
"003302030100400","颈动脉外膜剥脱术(颈外动脉外膜剥脱术)","","","","","","","",,,1,,,"普外"
"003310080030000","充填式无张力疝修补术","","","","","","","",,,1,,,"普外"
"003308040620000","大隐静脉高位结扎＋剥脱术","","","","","","","",,,1,,,"普外"
"003315190110000","手部瘢痕挛缩整形术","","","","","","","",,,2,,,"骨科"
"002101020160000","计算机X线摄影(ComputedRadiography，CR)","","","","","","","",,,4,,,"放射"
"003307020150000","肺包虫病内囊摘除术","","","","","","","",,,1,,,"心胸"
"003316030200000","焦痂开窗植皮术","","","","","","","",,,10,,,"普外"
"003306080110100","颧骨骨折切开复位内固定术(颧弓骨折)","","","","","","","",,,1,,,"骨科"
"004400000050100","药物罐(水罐)","","","","","","","",,,3,,20,"中医治疗"
"003105160040200","关节镜手术治疗(颞下颌关节盘复位术)","","","","","","","",,,1,,,"骨科"
"002101020130000","乳腺钼靶摄片8×10_","","","","","","","",,,1,,,"放射"
"003315150100000","人工桡骨头月骨置换术","","","","","","","",,,1,,,"骨科"
"003110000200000","经尿道输尿管镜检查","","","","","","","",,,1,,,"泌尿"
"003316030090000","切痂术","","","","","","","",,,10,,,"普外"
"003114000310000","血管瘤硬化剂注射治疗","","","","","","","",,,2,,,"介入治疗"
"003316030300000","游离皮片移植术","","","","","","","",,,10,,,"普外"
"003306010100000","鼻翼肿瘤切除成形术","","","","","","","",,,1,,,"耳鼻喉"
"003401000040800","紫外线治疗(生物剂量测定)","","","","","","","",,,2,,20,"物理治疗"
"003316030120000","头皮取皮术","","","","","","","",,,10,,,"普外"
"002505010280000","念珠菌镜检","","","","","","","",,,2,,,"化验"
"003103000810000","激光治疗眼前节病","","","","","","","",,,1,,,"一般诊疗"
"003302030100000","颈动脉外膜剥脱术","","","","","","","",,,1,,,"普外"
"003315010380000","腰椎间盘突出摘除术","","","","","","","",,,3,,,"骨科"
"003110000200100","经尿道输尿管镜检查(取异物)","","","","","","","",,,1,,,"泌尿"
"004400000040400","拔罐疗法(着罐)","","","","","","","",,,,,20,"中医治疗"
"004400000040000","拔罐疗法","","","","","","","",,,,,20,"中医治疗"
"004300000050400","微针针刺(腕踝针)","","","","","","","",,,,,20,"中医治疗"
"004700000070000","扁桃体烙法治疗","","","","","","","",,,,,20,"中医治疗"
"004300000050600","微针针刺(面针)","","","","","","","",,,,,20,"中医治疗"
"004300000050900","微针针刺(夹髓针)","","","","","","","",,,,,20,"中医治疗"
"004100000010000","贴敷疗法","","","","","","","",,,,,20,"中医治疗"
"004300000050200","微针针刺(鼻针)","","","","","","","",,,,,20,"中医治疗"
"004100000100000","赘生物中药腐蚀治疗","","","","","","","",,,,,20,"中医治疗"
"004100000030000","中药涂擦治疗","","","","","","","",,,,,20,"中医治疗"
"004400000040600","拔罐疗法(磁疗罐)","","","","","","","",,,,,20,"中医治疗"
"004400000040700","拔罐疗法(真空拔罐)","","","","","","","",,,,,20,"中医治疗"
"004300000050000","微针针刺","","","","","","","",,,,,20,"中医治疗"
"004700000150000","体表瘘管切开搔爬术","","","","","","","",,,,,20,"中医治疗"
"004400000040100","拔罐疗法(火罐)","","","","","","","",,,,,20,"中医治疗"
"004300000050100","微针针刺(舌针)","","","","","","","",,,,,20,"中医治疗"
"004300000120300","耳针(磁珠压耳穴)","","","","","","","",,,,,20,"中医治疗"
"004300000050500","微针针刺(手针)","","","","","","","",,,,,20,"中医治疗"
"004700000100000","中药硬膏热贴敷治疗","","","","","","","",,,,,20,"中医治疗"
"004300000120100","耳针(耳穴压豆)","","","","","","","",,,,,20,"中医治疗"
"004100000090000","中药熏药治疗","","","","","","","",,,,,20,"中医治疗"
"004400000040300","拔罐疗法(闪罐)","","","","","","","",,,,,20,"中医治疗"
"004300000050700","微针针刺(口针)","","","","","","","",,,,,20,"中医治疗"
"003401000010400","红外线治疗(远红外医疗舱治疗)","","","","","","","",,,,,20,"一般诊疗"
"004300000090000","梅花针","","","","","","","",,,,,20,"中医治疗"
"004300000050300","微针针刺(腹针)","","","","","","","",,,,,20,"中医治疗"
"004300000050800","微针针刺(项针)","","","","","","","",,,,,20,"中医治疗"
"004400000040200","拔罐疗法(电火罐)","","","","","","","",,,,,20,"中医治疗"
"004700000090000","耳咽中药吹粉治疗","","","","","","","",,,,,20,"中医治疗"
"004300000120200","耳针(耳穴埋针)","","","","","","","",,,,,20,"中医治疗"
"004400000040500","拔罐疗法(电罐)","","","","","","","",,,,,20,"中医治疗"
"003301000150000","麻醉中监测","","","住院","","","","",,,,,,"麻醉"
"003315130030100","残端修整术(手指)","","","","","","","",,,5,,,"骨科"
"003316030020000","烧伤扩创术","","","","","","","",,,2,,,"普外"
"003101000250000","肌电图监测","","","","","","","",,,24,,,"肌电"
"002407000040000","肿瘤消融术","","","","","","","",,,1,,,"一般诊疗"
"003315010560000","经皮穿刺颈腰椎间盘切除术","","","","","","","",,,3,,,"骨科"
"003303000080000","甲状腺部分切除术","","","","","","","",,,1,,,"普外"
"003315010390000","经皮激光腰椎间盘摘除术","","","","","","","",,,3,,,"骨科"
"004700000050100","小针刀治疗(刃针治疗)","","","","","","","",,,3,,20,"中医治疗"
"003315010210000","颈椎体次全切除植骨融合术","","","","","","","",,,3,,,"骨科"
"003312020100000","睾丸固定术","","","","","","","",,,1,,,"泌尿"
"003315200040000","手外伤局部转移皮瓣术","","","","","","","",,,5,,,"骨科"
"003101000050000","脑电图录象监测","","","","","","","",,,24,,,"脑电"
"003307020070000","袖状肺叶切除术","","","","","","","",,,1,,,"心胸"
"003315190010100","并指分离术(并趾)","","","","","","","",,,5,,,"骨科"
"002101030330000","窦道及瘘管造影","","","","","","","",,,1,,,"放射"
"003105040030400","面神经肌电图检查(下唇)","","","","","","","",,,2,,,"肌电"
"003302020040000","三叉神经干鞘膜内注射术","","","","","","","",,,2,,,"普外"
"002101030080000","支气管造影","","","","","","","",,,1,,,"放射"
"002101010010100","普通透视(胸)","","","","","","","",,,2,,,"放射"
"002403000040000","直线加速器放疗(固定照射)","","","","","","","",,,2,,,"放射"
"003105160040100","关节镜手术治疗(颞下颌关节活检术)","","","","","","","",,,1,,,"骨科"
"003308020110000","上腔静脉肺动脉吻合术(双向Glenn)","","","","","","","",,,2,,,"心胸"
"003316010020100","乳腺肿物切除术(窦道)","","","","","","","",,,1,,,"普外"
"003401000040400","紫外线治疗(低压紫外线)","","","","","","","",,,2,,20,"物理治疗"
"004300000110300","埋针治疗(穴位结扎)","","","","","","","",,,20,,20,"中医治疗"
"003316030140000","微粒自体皮制备","","","","","","","",,,10,,,"普外"
"003315010370000","椎管扩大成形术","","","","","","","",,,3,,,"骨科"
"003316010020000","乳腺肿物切除术","","","","","","","",,,1,,,"普外"
"003316010030000","副乳切除术","","","","","","","",,,1,,,"普外"
"003307020030000","肺段切除术","","","","","","","",,,1,,,"心胸"
"003316030100000","削痂术","","","","","","","",,,10,,,"普外"
"003309000120000","腹股沟淋巴管-腰干淋巴管吻合术","","","","","","","",,,1,,,"普外"
"003101000140000","颅内压监测","","","","","","","",,,24,,,"一般诊疗"
"003303000210000","肾上腺切除术","","","","","","","",,,1,,,"泌尿"
"003316030310000","皮肤撕脱反取皮回植术","","","","","","","",,,10,,,"普外"
"003303000230000","恶性嗜铬细胞瘤根治术","","","","","","","",,,1,,,"泌尿"
"003306010080000","下鼻甲部分切除术","","","","","","","",,,1,,,"耳鼻喉"
"003306070160000","髁状突高位切除术","","","","","","","",,,1,,,"耳鼻喉"
"003304020100100","泪小管填塞术(封闭术)","","","","","","","",,,1,,,"眼科"
"003302020020000","三叉神经周围支切断术","","","","","","","",,,2,,,"普外"
"002101020150000","数字化摄影(DR)","","","","","","","",,,4,,,"放射"
"003304030070000","下穹窿成形术","","","","","","","",,,1,,,"眼科"
"003106030010000","呼吸机辅助呼吸","","","","","","","",,,24,,,"ICU"
"002101020080000","牙片","","","","","","","",,,4,,,"放射"
"003316030410000","深度烧伤扩创关节成型术","","","","","","","",,,2,,,"骨科"
"003304090130000","眶内血肿穿刺术","","","","","","","",,,1,,,"眼科"
"003110000150100","肾穿刺术(造瘘)","","","","","","","",,,1,,,"泌尿"
"003105040030200","面神经肌电图检查(眼)","","","","","","","",,,2,,,"肌电"
"003304060200000","晶体张力环置入术","","","","","","","",,,1,,,"眼科"
"003306070170000","颞下颌关节成形术","","","","","","","",,,1,,,"耳鼻喉"
"003315220040000","脑瘫肌力肌张力调整术","","","","","","","",,,4,,,"骨科"
"002505010290000","念珠菌培养","","","","","","","",,,2,,,"化验"
"003306080120000","颧弓骨折复位术","","","","","","","",,,1,,,"骨科"
"003306050300000","颌面部血管瘤瘤腔内注射术","","","","","","","",,,2,,,"耳鼻喉"
"003309000020000","体表淋巴结摘除术","","","","","","","",,,2,,,"普外"
"003316030030000","烧伤血管破裂出血血管修补缝合术","","","","","","","",,,2,,,"普外"
"003306080110000","颧骨骨折切开复位内固定术","","","","","","","",,,1,,,"骨科"
"003105040030100","面神经肌电图检查(额)","","","","","","","",,,2,,,"肌电"
"003315010190000","颈椎间盘切除术","","","","","","","",,,3,,,"骨科"
"003312020060000","睾丸鞘膜翻转术","","","","","","","",,,1,,,"泌尿"
"003105160010000","颞颌关节腔内封闭治疗","","","","","","","",,,1,,,"骨科"
"003316040020000","慢性溃疡修复术","","","","","","","",,,2,,,"骨科"
"003315230110000","各部位多头带包扎术","","","","","","","",,,2,,,"骨科"
"004300000220000","穴位注射","","","","","","","",,,20,,20,"中医治疗"
"003315210280000","肌腱粘连松解术","","","","","","","",,,5,,,"骨科"
"003316030230000","切(削)痂网状自体皮移植术","","","","","","","",,,10,,,"普外"
"003315140020000","断指再植术","","","","","","","",,,5,,,"骨科"
"003315140020100","断指再植术(断趾)","","","","","","","",,,5,,,"骨科"
"003316030040000","深度烧伤扩创血管神经探查术","","","","","","","",,,2,,,"普外"
"003101000070000","神经传导速度测定","","","","","","","",,,2,,,"脑电"
"003106030020100","无创辅助通气(持续气道正压(CPAP))","","","","","","","",,,24,,,"ICU"
"003306080080000","髁状突骨折切开复位内固定术","","","","","","","",,,1,,,"骨科"
"002101010010400","普通透视(四肢)","","","","","","","",,,2,,,"放射"
"003308020410000","矫正型大动脉转位伴发畸形矫治术","","","","","","","",,,2,,,"心胸"
"003316030290000","带真皮血管网游离皮片切取术","","","","","","","",,,10,,,"普外"
"002101030060000","副鼻窦造影","","","","","","","",,,1,,,"放射"
"003114000310100","血管瘤硬化剂注射治疗(下肢血管曲张注射)","","","","","","","",,,2,,,"介入治疗"
"003315010290000","胸椎融合术","","","","","","","",,,3,,,"骨科"
"002403000010000","深部X线照射","","","","","","","",,,2,,,"放射"
"003302020030000","三叉神经撕脱术","","","","","","","",,,2,,,"普外"
"003307020010000","肺内异物摘除术","","","","","","","",,,1,,,"心胸"
"003308040620200","大隐静脉高位结扎＋剥脱术(小隐静脉曲张)","","","","","","","",,,1,,,"普外"
"003315010330000","经胸腹联合切口胸椎间盘切除术","","","","","","","",,,3,,,"骨科"
"003315190010000","并指分离术","","","","","","","",,,5,,,"骨科"
"003401000040300","紫外线治疗(短波紫外线)","","","","","","","",,,2,,20,"物理治疗"
"002703000050000","手术标本检查与诊断","","","","","","","",,,10,,,"病理"
"003307030130000","胸壁缺损修复术","","","","","","","",,,1,,,"心胸"
"003316030150000","自体皮细胞悬液制备","","","","","","","",,,10,,,"普外"
"003309000030000","颈淋巴结清扫术","","","","","","","",,,1,,,"普外"
"004300000110100","埋针治疗(穴位包埋)","","","","","","","",,,20,,20,"中医治疗"
"003101000230100","肌电图(眼肌电图)","","","","","","","",,,2,,,"肌电"
"002403000020000","60钴外照射(固定照射)","","","","","","","",,,2,,,"放射"
"003101000220000","多功能神经肌肉功能监测","","","","","","","",,,24,,,"一般诊疗"
"003315010320000","胸腰椎骨折切开复位内固定术","","","","","","","",,,3,,,"骨科"
"003310080010000","腹股沟疝修补术","","","","","","","",,,1,,,"普外"
"002101030260000","肾盂穿刺造影","","","","","","","",,,1,,,"放射"
"003110000180000","经皮肾盂镜检查","","","","","","","",,,1,,,"泌尿"
"002101030090000","乳腺导管造影","","","","","","","",,,1,,,"放射"
"004300000220100","穴位注射(穴位封闭)","","","","","","","",,,20,,20,"中医治疗"
"003315010600000","人工椎体置换术","","","","","","","",,,3,,,"骨科"
"003101000230000","肌电图","","","","","","","",,,2,,,"肌电"
"002101030320000","四肢淋巴管造影","","","","","","","",,,4,,,"放射"
"003307020060000","肺叶切除术","","","","","","","",,,1,,,"心胸"
"003307020020000","肺癌根治术","","","","","","","",,,1,,,"心胸"
"003304090230000","眼前段重建术","","","","","","","",,,1,,,"眼科"
"003101000080000","神经电图","","","","","","","",,,2,,,"脑电"
"003105160020000","关节腔灌洗治疗","","","","","","","",,,1,,,"骨科"
"003315190130000","复合组织游离移植","","","","","","","",,,2,,,"骨科"
"003303000230100","恶性嗜铬细胞瘤根治术(异位嗜铬细胞瘤根治术)","","","","","","","",,,1,,,"泌尿"
"003312020050000","高位隐睾下降固定术","","","","","","","",,,1,,,"泌尿"
"002101030290000","输精管造影","","","","","","","",,,1,,,"放射"
"003307020050000","肺楔形切除术","","","","","","","",,,1,,,"心胸"
"004300000110200","埋针治疗(穴位埋线)","","","","","","","",,,20,,20,"中医治疗"
"003110000210000","经膀胱镜输尿管插管术","","","","","","","",,,1,,,"泌尿"
"003309000140000","淋巴管大隐静脉吻合术","","","","","","","",,,1,,,"普外"
"003102080010000","胰岛素泵持续皮下注射胰岛素","","","","","","","",,,24,,,"一般诊疗"
"001110000030000","远程会诊","","","","","","","",,,,400,,"一般诊疗"
"332403000170000","X线立体定向放射治疗（射波刀，首次）","","","","","","","",,,,40000,,"放射"
"002507000190300","化学药物用药指导的基因检测","","","","","","","",,,,2200,,"化验"
"003112010320000","羊水泡沫振荡试验","生育","","","","","","",,,,,,"妇科"
"003112010530000","人工流产术","生育","","","","女性","","",,,,,,"妇科"
"003112010260000","胎心监测","生育","","","","女性","","",,1,,,,"监测"
"002507000150000","苯丙氨酸测定(PKU)","生育","","","","","","",,,,,,"化验"
"002501020220000","卵泡刺激素(LH)排卵预测","生育","","","","","","",,,,,,"化验"
"003112010510000","产后刮宫术","生育","","","","女性","","",,,,,,"妇科"
"003313030200000","开腹取环术","生育","","","","","","",,,,,,"妇科"
"003112010330000","羊水中胎肺成熟度LB记数检测","生育","","","","女性","","",,,,,,"妇科"
"003313020010000","输卵管结扎术","生育","","","","女性","","",,1,,,,"妇科"
"003112010490000","避孕药皮下埋植术","生育","","","","女性","","",,,,,,"妇科"
"003314000050000","死胎接生","生育","","","","女性","","",,,,,,"妇科"
"003312040050000","阴茎再植术","工伤","","","","男性","","",,,,,,"泌尿"
"003301000080000","术后镇痛","生育","","","","","","",,,,,,"麻醉"
"003306010250000","鼻畸形矫正术","工伤","","","","","","",,,,,,"耳鼻喉"
"003305010170000","分期耳廓成形术","工伤","","","","","","",,,,,,"耳鼻喉"
"003314000040000","多胎接生","生育","","","","女性","","",,,,,,"妇科"
"003112010480000","宫内节育器放置术","生育","","","","","","",,,,,,"妇科"
"003112010490100","避孕药皮下埋植术(皮下避孕药取出术)","生育","","","","女性","","",,,,,,"妇科"
"003314000150000","二次剖宫产术","生育","","","","女性","","",,,,,,"妇科"
"003314000120000","剖宫产术","生育","","","","女性","","",,,,,,"妇科"
"003112010310000","经皮脐静脉穿刺术","生育","","","","","","",,,,,,"妇科"
"003112010300100","羊膜腔穿刺术(羊膜腔注药中期引产术)","生育","","","","女性","","",,,,,,"妇科"
"002202010020000","B超常规检查","","","","","","","",,1,,,,"B超"
"003112010230000","产前检查","生育","","","","女性","","",,4,,,,"妇科"
"002507000100000","唐氏综合症筛查","生育","","","","女性","","",,,,,,"化验"
"003112010550000","催产素滴注引产术","生育","","","","女性","","",,,,,,"妇科"
"003112010300000","羊膜腔穿刺术","生育","","","","","","",,,,,,"妇科"
"003314000020000","单胎顺产接生","生育","","","","女性","","",,,,,,"妇科"
"003313020020000","显微外科输卵管吻合术","生育","","","","女性","","",,,,,,"妇科"
"003314000070000","难产接生","生育","","","","女性","","",,,,,,"妇科"
"003314000110000","脐带还纳术","生育","","","","","","",,,,,,"妇科"
"003314000170000","选择性减胎术","生育","","","","女性","","",,,,,,"妇科"
"003314000080000","外倒转术","生育","","","","","","",,,,,,"妇科"
"003314000180000","子宫颈裂伤修补术","生育","","","","女性","","",,,,,,"妇科"
"003301000080200","术后镇痛(分娩)","生育","","","","","","",,,,,,"麻醉"
"003305010180000","耳廓再造术","工伤","","","","","","",,,,,,"耳鼻喉"
"003112010560000","药物性引产处置术","生育","","","","女性","","",,,,,,"妇科"
"003112010250000","胎儿心电图","生育","","","","女性","","",,,,,,"心电"
"003314000090000","内倒转术","生育","","","","","","",,,,,,"妇科"
"003112010280000","胎儿脐血流监测","生育","","","","女性","","",,,,,,"妇科"
"003313020030000","输卵管修复整形术","生育","","","","女性","","",,,,,,"妇科"
"003112010390000","胎盘成熟度检测","生育","","","","女性","","",,,,,,"妇科"
"003316030430000","肌腱移植术","工伤","","","","","","",,,,,,"骨科"
"003314000060000","各种死胎分解术","生育","","","","女性","","",,,,,,"妇科"
"003306010040000","鼻继发畸形修复术","工伤","","","","","","",,,,,,"耳鼻喉"
"003305010160000","一期耳廓成形术","工伤","","","","","","",,,,,,"耳鼻喉"
"003112010270000","胎儿镜检查","生育","","","","女性","","",,,,,,"妇科"
"003112010340000","羊水置换","生育","","","","","","",,,,,,"妇科"
"003314000030000","双胎接生","生育","","","","女性","","",,,,,,"妇科"
"003306010260000","鼻再造术","工伤","","","","","","",,,,,,"耳鼻喉"
"003313060040000","经宫腔镜取环术","生育","","","","","","",,,,,,"妇科"
"003313030070000","孕期子宫内口缝合术","生育","","","","女性","","",,,,,,"妇科"
"003112010540000","子宫内水囊引产术","生育","","","","女性","","",,,,,,"妇科"
"003314000010000","人工破膜术","生育","","","","","","",,,,,,"妇科"
"003314000160000","腹腔妊娠取胎术","生育","","","","女性","","",,,,,,"妇科"
"003314000190000","子宫颈管环扎术(Mc-Donald)","生育","","","","女性","","",,,,,,"妇科"
"003112010480100","宫内节育器放置术(取出术)","生育","","","","","","",,,,,,"妇科"
"003112010470000","输卵管绝育术","生育","","","","女性","","",,,,,,"妇科"
"002103000040000","X线计算机体层(CT)成象","","三级","","","","","",,1,,,,"放射"
"002707000010000","原位杂交技术","","三级","","","","","",,,,,,"病理"
"003305020200000","电子耳蜗植入术","","三级","","","","小儿","(耳聋|听力障碍)",,,,,,"手术"
"332103000040200","肺结节CT靶重建和结构化报告","","三级","","","","","",,,,,,"放射"
"003310050180000","肝移植术","","三级","","","","","",,,,,,"手术"
"003304070020000","玻璃体切除术","","三级","","","","","",,,,,,"手术"
"003303000170000","喉返神经探查术","","","住院","","","","",,,,,,"耳鼻喉"
"002202010080000","床旁B超检查","","","住院","","","","",,1,,,,"B超"
"001102000010000","普通门诊诊查费","","","门诊","","","","",,1,,,,"一般诊疗"
"003101000130000","术中颅神经监测","","","住院","","","","",,,24,,,"监测"
"003301000060100","血液加温治疗(术中加温)","","","住院","","","","",,,,,,"一般诊疗"
"002101010030100","床旁透视与术中透视(透视下定位)","","","住院","","","","",,,,,,"放射"
"003115030010000","抗精神病药物治疗监测","","","住院","(精神|心理)","","","",,1,,,,"一般诊疗"
"003302020090300","面神经吻合术(听神经瘤手术中颅内直接吻合)","","","住院","","","","",,,,,,"耳鼻喉"
"002403000140000","术中放疗","","","住院","","","","",,,,,,"放射"
"002206000030000","床旁超声心动图","","","住院","","","","",,1,,,,"B超"
"001201000090000","精神病护理","","","住院","","","","",,1,,,,"ICU"
"002203020120000","临床操作的彩色多普勒超声引导","","","住院","","","","",,1,,,,"B超"
"001109000010000","普通病房床位费","","","住院","","","","",,1,,,,"一般诊疗"
"002101010030000","床旁透视与术中透视","","","住院","","","","",,,,,,"放射"
"002101010040100","C型臂术中透视(透视下定位)","","","住院","","","","",,,,,,"放射"
"001102000050000","住院诊查费","","","住院","","","","",,1,,,,"一般诊疗"
"001109000010600","普通病房床位费(新生儿床)","","","住院","","","","",,1,,,,"一般诊疗"
"002101010040000","C型臂术中透视","","","住院","","","","",,,,,,"放射"
"002202010080100","床旁B超检查(术中B超检查)","","","住院","","","","",,1,,,,"B超"
"001109000040000","特殊防护病房床位费","","","住院","","","","",,1,,,,"ICU"
"002206000060000","术中经食管超声心动图","","","住院","","","","",,,24,,,"B超"
"003108000070100","自体血回收(术中自体血回输)","","","住院","","","","",,,,,,"一般诊疗"
"001109000020100","百级层流洁净病房床位费","","","住院","","","","",,1,,,,"ICU"
"003309000010000","淋巴结穿刺术","","","住院","","","","",,1,,,,"放射"
"001109000020000","层流洁净病房床位费","","","住院","","","","",,1,,,,"ICU"
"002102000030000","脑功能成象","","","住院","","","","",,,,,,"放射"
"003402000020000","仪器平衡功能评定","","","","(康复)","","","",,,,,,"康复治疗"
"003402000270000","有氧训练","","","","(康复)","","","",90,,,,,"康复治疗"
"003402000080200","言语能力评定(构音障碍检查)","","","","(康复)","","","(言语功能障碍)",2,,,,,"康复治疗"
"003402000200000","运动疗法","","","","(康复)","","","(运动功能障碍)",180,,,,,"康复治疗"
"003115010031500","精神科C类量表测查(十六种人格问卷)","","","","(精神|心理)","","","",3,,,,,"精神治疗"
"003115010031200","精神科C类量表测查(明尼苏达多相个性测验)","","","","(精神|心理)","","","",3,,,,,"精神治疗"
"003115030030000","精神科监护","","","","(精神|心理)","","","",,1,,,,"精神治疗"
"003115010021400","精神科B类量表测查(格式塔测验)","","","","(精神|心理)","","","",3,,,,,"精神治疗"
"003115010030300","精神科C类量表测查(复合性国际诊断问卷(CIDI))","","","","(精神|心理)","","","",3,,,,,"精神治疗"
"003402000120000","认知知觉功能检查","","","","(康复)","","","(认知功能障碍|知觉功能障碍)",12,,,,,"康复治疗"
"003115010013100","精神科A类量表测查(再认能力测定感统量表)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115020020000","眼动检查","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115030050000","多参数监护无抽搐电休克治疗","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010012400","精神科A类量表测查(康奈氏(Conners)儿童行为量表)","","","","(精神|心理)","","小儿","",,,,,,"精神治疗"
"003115010020900","精神科B类量表测查(布雷德(Bleied)痴呆评定量表)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010010000","精神科A类量表测查","","","","(精神|心理)","","小儿","",3,,,,,"精神治疗"
"003115030260000","催眠治疗","","","","(精神|心理)","","","(抑郁症|焦虑症|强迫症|恐惧症)",15,,,,,"精神治疗"
"003115010011900","精神科A类量表测查(长谷川痴呆测验)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003402000010000","徒手平衡功能检查","","","","(康复)","","","",,,,,,"康复治疗"
"001104000010700","院前危急重症抢救费","","","","(急诊)","","","",,1,,,,"一般诊疗"
"003402000380000","认知知觉功能障碍训练","","","","(康复)","","","",,,,,,"康复治疗"
"003402000370000","吞咽功能障碍训练","","","","(康复)","","","(吞咽功能障碍)",,,,,,"康复治疗"
"003115010031600","精神科C类量表测查(专家系统行为观察诊断量表)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010031300","精神科C类量表测查(艾森克个性测验)","","","","(精神|心理)","","","",3,,,,,"精神治疗"
"003115030070000","胰岛素低血糖和休克治疗","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010020500","精神科B类量表测查(强迫症状问卷)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115020010000","套瓦(TOVA)注意力竞量测试","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010011300","精神科A类量表测查(锥体外系副作用量表)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115030270000","森田疗法","","","","(精神|心理)","","","(神经症)",,1,,,,"精神治疗"
"003115010011800","精神科A类量表测查(瞬时记忆测验)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010010600","精神科A类量表测查(躁狂状态评定量表)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010030000","精神科C类量表测查","","","","(精神|心理)","","小儿","",3,,,,,"精神治疗"
"003115010011500","精神科A类量表测查(艾森贝格行为量表)","","","","(精神|心理)","","","",3,,,,,"精神治疗"
"003115020040000","首诊精神病检查","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010020200","精神科B类量表测查(慢性精神病标准化评定量表)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010012900","精神科A类量表测查(瞬时记忆广度测定)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003402000210000","减重支持系统训练","","","","(康复)","","","(行走障碍)",30,,,,,"康复治疗"
"003402000260100","关节松动训练(小关节(指关节))","","","","(康复)","","","(关节功能障碍)",,,,,,"康复治疗"
"003402000340000","言语训练","","","","(康复)","","","",,,,,,"康复治疗"
"003115010010400","精神科A类量表测查(汉密尔顿抑郁量表)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010012300","精神科A类量表测查(儿童孤独行为检查量表)","","","","(精神|心理)","","小儿","",,,,,,"精神治疗"
"003402000400000","偏瘫肢体综合训练","","","","(康复)","","","(肌肉瘫痪|偏瘫)",90,,,,,"康复治疗"
"003402000050000","手功能评定","","","","(康复)","","","(手功能障碍)",6,,,,,"康复治疗"
"003115010013500","精神科A类量表测查(比奈智力测定(10岁以下))","","","","(精神|心理)","","","",3,,,,,"精神治疗"
"003115010030200","精神科C类量表测查(阴性症状评定量表(SANS))","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010030800","精神科C类量表测查(临床记忆测验)","","","","(精神|心理)","","","",3,,,,,"精神治疗"
"003115010013000","精神科A类量表测查(检查空间位置记忆广度测定)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003402000350000","儿童听力障碍语言训练","","","","(康复)","","小儿","(听力障碍)",48,,,,,"康复治疗"
"003115010011200","精神科A类量表测查(迟发运动障碍评定量表)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003402000230000","电动起立床训练","","","","(康复)","","","",30,,,,,"康复治疗"
"003402000110000","吞咽功能障碍评定","","","","(康复)","","","(吞咽功能障碍)",3,,,,,"康复治疗"
"003115010010300","精神科A类量表测查(汉密尔顿焦虑量表)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003402000090000","失语症检查","","","","(康复)","","","(失语症|构音障碍|言语失用)",6,,,,,"康复治疗"
"003115010012800","精神科A类量表测查(短时记忆广度测定)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010013400","精神科A类量表测查(丹佛小儿智能发育筛查表)","","","","(精神|心理)","","小儿","",3,,,,,"精神治疗"
"003402000080100","言语能力评定(一般失语症检查)","","","","(康复)","","","(言语功能障碍)",2,,,,,"康复治疗"
"003115010010200","精神科A类量表测查(宗(Zung)氏抑郁自评量表)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003402000310000","作业疗法","","","","(康复)","","","(ADL|活动能力障碍)",90,,,,,"康复治疗"
"003115010031700","精神科C类量表测查(808神经类型测验)","","","","(精神|心理)","","","",,,,,,"精神治疗"
"003115010011400","精神科A类量表测查(气质量表)","","","","(精神|心理)","","","",3,,,,,"精神治疗"
"003402000080300","言语能力评定(言语失用检查)","","","","(康复)","","","(言语功能障碍)",2,,,,,"康复治疗"
"003402000030000","日常生活能力评定","","","","(康复)","","","",6,,,,,"康复治疗"
"003402000140000","失认失用评定","","","","(康复)","","","",3,,,,,"康复治疗"
"003115010011600","精神科A类量表测查(常识注意测验)","","","","(精神|心理)","","","",,,,,,"精神治疗"
