"主项编码","主项名称","过度周期","过度限制","领域标识"
"002504030170000","戊型肝炎抗体测定(Anti-HEV)","每月","1","化验"
"002504030180000","庚型肝炎IgG抗体测定(Anti-HGVIgG)","每月","1","化验"
"002504030270000","呼吸道合胞病毒抗原测定","每月","1","化验"
"002504030280000","副流感病毒抗体测定","每月","1","化验"
"002504030330100","流行性出血热病毒抗体测定(IgG)","每月","1","化验"
"002504030330200","流行性出血热病毒抗体测定(IgM)","每月","1","化验"
"002504030350100","病毒血清学试验(脊髓灰质炎病毒)","每月","1","化验"
"002504030350100","病毒血清学试验(脊髓灰质炎病毒)","每月","1","化验"
"002504030350200","病毒血清学试验(柯萨奇病毒)","每月","1","化验"
"002504030350300","病毒血清学试验(流行性乙型脑炎病毒)","每月","1","化验"
"002504030350300","病毒血清学试验(流行性乙型脑炎病毒)","每月","1","化验"
"002504030350400","病毒血清学试验(流行性腮腺炎病毒)","每月","1","化验"
"002504030350500","病毒血清学试验(麻疹病毒)","每月","1","化验"
"002504030350500","病毒血清学试验(麻疹病毒)","每月","1","化验"
"002504030360000","嗜异性凝集试验","每月","1","化验"
"002504030370000","冷凝集试验","每月","1","化验"
"002504030390000","外斐氏反应","每月","1","化验"
"002504030400000","斑疹伤寒抗体测定","每月","1","化验"
"002504030410000","布氏杆菌凝集试验","每月","1","化验"
"002504030420000","细菌抗体测定","每月","1","化验"
"002504030420000","细菌抗体测定","每月","1","化验"
"002504030420000","细菌抗体测定","每月","1","化验"
"003115010030600","精神科C类量表测查(成人孤独症诊断量表(ADI))","每周","1","精神治疗"
"003115010030700","精神科C类量表测查(成人韦氏记忆测验)","每周","1","精神治疗"
"003115010031100","精神科C类量表测查(科赫(Kohs)立方体组合测验)","每周","1","精神治疗"
"003115010031800","精神科C类量表测查(比奈智力测定(10岁以上))","每周","1","精神治疗"
"003115010021500","精神科B类量表测查(本顿视觉保持测定)","每周","1","精神治疗"
"003115010020000","精神科B类量表测查","每周","1","精神治疗"
"003115010020600","精神科B类量表测查(精神护理观察量表)","每周","1","精神治疗"
"003115010030001","精神科C类量表测查(使用电脑自测的量表酌情加收)","每周","1","精神治疗"
"003115010010001","精神科A类量表测查(使用电脑自测的量表酌情加收)","每周","1","精神治疗"
"003115010013700","精神科A类量表测查(催眠感受性测定)","每周","1","精神治疗"
"003115010020001","精神科B类量表测查(使用电脑自测的量表酌情加收)","每周","1","精神治疗"
"003115010013400","精神科A类量表测查(丹佛小儿智能发育筛查表)","每月","1","精神治疗"
"003115010013500","精神科A类量表测查(比奈智力测定(10岁以下))","每月","1","精神治疗"
"003115010010000","精神科A类量表测查","每月","1","精神治疗"
"003115010010000","精神科A类量表测查","每月","1","精神治疗"
"003115010010000","精神科A类量表测查","每月","1","精神治疗"
"003115010020300","精神科B类量表测查(紧张性生活事件评定量表)","每月","1","精神治疗"
"003115010020800","精神科B类量表测查(标准化现状检查)","每月","1","精神治疗"
"003115010021000","精神科B类量表测查(艾森克人格测定(少年版))","每月","1","精神治疗"
"003115010011400","精神科A类量表测查(气质量表)","每月","1","精神治疗"
"003115010011500","精神科A类量表测查(艾森贝格行为量表)","每月","1","精神治疗"
"003115010012000","精神科A类量表测查(认知方式测定)","每月","1","精神治疗"
"003115010021300","精神科B类量表测查(瑞文智力测定)","每月","1","精神治疗"
"003115010030000","精神科C类量表测查","每月","1","精神治疗"
"003115010030000","精神科C类量表测查","每月","1","精神治疗"
"003115010030000","精神科C类量表测查","每月","1","精神治疗"
"003115010030000","精神科C类量表测查","每月","1","精神治疗"
"003115010021400","精神科B类量表测查(格式塔测验)","每月","1","精神治疗"
"003115010020000","精神科B类量表测查","每月","1","精神治疗"
"003115010020000","精神科B类量表测查","每月","1","精神治疗"
"003115010030300","精神科C类量表测查(复合性国际诊断问卷(CIDI))","每月","1","精神治疗"
"003115010030800","精神科C类量表测查(临床记忆测验)","每月","1","精神治疗"
"003115010030900","精神科C类量表测查(韦氏智力测验)","每月","1","精神治疗"
"003115010031000","精神科C类量表测查(神经心理测验)","每月","1","精神治疗"
"002502030310000","血浆凝血因子活性测定","每周","1","化验"
"002502030310000","血浆凝血因子活性测定","每周","1","化验"
"002502030310000","血浆凝血因子活性测定","每周","1","化验"
"002502030310000","血浆凝血因子活性测定","每周","1","化验"
"002502030310000","血浆凝血因子活性测定","每周","1","化验"
"002502030320000","血浆因子Ⅷ抑制物定性测定","每周","1","化验"
"002502030330000","血浆因子Ⅷ抑制物定量测定","每周","1","化验"
"002502030350000","凝血酶时间测定(TT)","每周","1","化验"
"002502030360000","甲苯胺蓝纠正试验","每周","1","化验"
"002502030380000","瑞斯托霉素辅因子测定(VWF：ROOF)","每周","1","化验"
"002505030080000","β—内酰胺酶试验","每周","1","化验"
"002502030060000","毛细血管脆性试验","每周","1","化验"
"002502030070000","阿斯匹林耐量试验(ATT)","每周","1","化验"
"002505010260000","真菌涂片检查","每周","1","化验"
"002505010270000","真菌培养及鉴定","每周","1","化验"
"002505010270000","真菌培养及鉴定","每周","1","化验"
"002505010280000","念珠菌镜检","每周","1","化验"
"002505010310000","衣原体检查","每周","1","化验"
"002505010340000","支原体培养及药敏","每周","1","化验"
"002505010350000","轮状病毒检测_","每周","1","化验"
"002505010360000","其它病毒的血清学诊断","每周","1","化验"
"002505010370000","病毒培养与鉴定","每周","1","化验"
"002505020010000","常规药敏定性试验","每周","1","化验"
"002505020020000","常规药敏定量试验(MIC)","每周","1","化验"
"002505020030000","真菌药敏试验","每周","1","化验"
"002505020040000","结核菌药敏试验","每周","1","化验"
"002505020050000","厌氧菌药敏试验","每周","1","化验"
"002505020060000","血清杀菌水平测定","每周","1","化验"
"002505020070000","联合药物敏感试验","每周","1","化验"
"002505020080000","抗生素最小抑／杀菌浓度测定","每周","1","化验"
"002505020090000","体液抗生素浓度测定","每周","1","化验"
"002505020090000","体液抗生素浓度测定","每周","1","化验"
"002505020100000","肿瘤细胞化疗药物敏感试验","每周","1","化验"
"002505030020000","细菌毒素测定","每周","1","化验"
"002505030030000","病原体乳胶凝集试验快速检测","每周","1","化验"
"002505030050000","内毒素鲎定性试验","每周","1","化验"
"002505030090000","超广谱β－内酰胺酶试验","每周","1","化验"
"002505030100100","耐万古霉素基因试验(基因A)","每周","1","化验"
"002505030100200","耐万古霉素基因试验(基因B)","每周","1","化验"
"002505030110000","DNA探针技术查meeA基因","每周","1","化验"
"002506010010000","粪寄生虫镜检","每周","1","化验"
"002506010020000","粪寄生虫卵集卵镜检","每周","1","化验"
"002506010030000","粪寄生虫卵计数","每周","1","化验"
"002506010040000","寄生虫卵孵化试验","每周","1","化验"
"002506010060000","血液微丝蚴检查","每周","1","化验"
"002506010070000","血液回归热螺旋体检查","每周","1","化验"
"002506010080000","血液黑热病利一集氏体检查","每周","1","化验"
"002506020010000","各种寄生虫免疫学检查","每周","1","化验"
"002502030800000","血栓弹力图试验(TEG)","每周","1","化验"
"002502010090000","白血病残留病灶检测","每周","1","化验"
"002502020130000","酸化甘油溶血试验","每周","1","化验"
"002502020170000","葡萄糖6—磷酸脱氢酶荧光斑点试验","每周","1","化验"
"002502020210000","红细胞丙酮酸激酶测定(PK)","每周","1","化验"
"002502020260000","血红蛋白电泳","每周","1","化验"
"002502020320000","血红蛋白C试验","每周","1","化验"
"002502020340400","直接抗人球蛋白试验(Coombs')(C3)","每周","1","化验"
"002502030010000","血小板相关免疫球蛋白(PAIg)测定","每周","1","化验"
"002502030020000","血小板相关补体C3测定(PAC3)","每周","1","化验"
"002502030030200","抗血小板膜糖蛋白自身抗体测定(流式细胞仪法)","每周","1","化验"
"002502030080000","血管性假性血友病因子(VWF)抗原测定","每周","1","化验"
"002502030120000","瑞斯托霉素诱导血小板聚集测定","每周","1","化验"
"002502030170000","血浆β—血小板球蛋白测定","每周","1","化验"
"002502030310000","血浆凝血因子活性测定","每周","1","化验"
"002502030310000","血浆凝血因子活性测定","每周","1","化验"
"002502030340000","血浆因子XIII缺乏筛选试验","每周","1","化验"
"002502030400000","血浆鱼精蛋白副凝试验(3P)","每周","1","化验"
"002502030450000","血浆α2纤溶酶抑制物活性测定(α2—PIA)","每周","1","化验"
"002502030500000","血浆肝素含量测定","每周","1","化验"
"002502030530000","活化蛋白C抵抗试验(APCR)","每周","1","化验"
"002502030570000","血浆组织纤溶酶原活化物抗原检测(t-PAAg)","每周","1","化验"
"002502030620000","血浆凝血酶原片段1+2检测(F1+2)_","每周","1","化验"
"002502030670000","α2-巨球蛋白测定","每周","1","化验"
"002502030710300","全血粘度测定(低切)","每周","1","化验"
"002502030750000","肝素辅因子II活性测定","每周","1","化验"
"002505030060000","内毒素鲎定量测定","每周","1","化验"
"002506010030000","粪寄生虫卵计数","每周","1","化验"
"332502019010000","白血病细胞常规化学染色","每周","1","化验"
"332502039010000","凝血功能常规检查","每周","1","化验"
"002502010040000","造血干细胞计数","每周","1","化验"
"002502010050000","骨髓造血祖细胞培养","每周","1","化验"
"002502030370000","复钙交叉时间测定","每周","1","化验"
"002505010090000","一般细菌培养及鉴定","每周","1","化验"
"002505010290000","念珠菌培养","每周","1","化验"
"002505030040000","细菌分型","每周","1","化验"
"002505030070000","O—129试验","每周","1","化验"
"002505030100300","耐万古霉素基因试验(基因C)","每周","1","化验"
"002506010050000","血液虐原虫检查","每周","1","化验"
"002506010090000","血液弓形虫检查","每周","1","化验"
"002505010110000","血培养及鉴定","每周","1","化验"
"002505010110000","血培养及鉴定","每周","1","化验"
"002505010030000","浓缩集菌抗酸菌检测","每周","1","化验"
"002505010070000","艰难梭菌检查","每周","1","化验"
"002305000080000","肾图","每周","1","检查"
"002204000010000","颅内多普勒血流图(TCD)","每周","1","检查"
"002204000020000","四肢多普勒血流图","每周","1","检查"
"002206000020000","普通二维超声心动图","每周","1","检查"
"002206000050000","常规经食管超声心动图","每周","1","检查"
"002206000090000","负荷超声心动图","每周","1","检查"
"002305000090000","介入肾图","每周","1","检查"
"002305000100000","肾图＋肾小球滤过率测定","每周","1","检查"
"002305000110000","肾图＋肾有效血浆流量测定","每周","1","检查"
"002203020100000","脏器声学造影","每周","1","检查"
"002205000020000","能量图血流立体成象","每周","1","检查"
"002504040180000","触珠蛋白测定","每月","1","化验"
"002504040190000","酸性糖蛋白测定","每月","1","化验"
"002504050050000","专项变应原(单价变应原)筛查","每月","1","化验"
"002504010290000","淋巴细胞免疫分析","每月","1","化验"
"002504020020000","抗核抗体测定(ANA)","每月","1","化验"
"002504020030000","抗核提取物抗体测定(抗ENA抗体)","每月","1","化验"
"002504020030000","抗核提取物抗体测定(抗ENA抗体)","每月","1","化验"
"002504020120200","抗血液细胞抗体测定(淋巴细胞抗体)","每月","1","化验"
"002504020130000","抗肝细胞特异性脂蛋白抗体测定","每月","1","化验"
"002504020140400","抗组织细胞抗体测定(肾上腺细胞抗体)","每月","1","化验"
"002504020160100","抗心磷脂抗体测定(ACA)(IgA)","每月","1","化验"
"002503100530000","甲状腺球蛋白(TG)测定","每月","1","化验"
"002502030680000","人类白细胞抗原B27测定(HLA-B27)","每周","1","化验"
"002502030700000","红细胞流变特性检测","每周","1","化验"
"002502030710100","全血粘度测定(高切)","每周","1","化验"
"002502030710200","全血粘度测定(中切)","每周","1","化验"
"002502030720000","血浆粘度测定","每周","1","化验"
"002502030730000","血小板ATP释放试验","每周","1","化验"
"002502030390000","优球蛋白溶解时间测定(ELT)","每周","1","化验"
"002502030410000","连续血浆鱼精蛋白稀释试验","每周","1","化验"
"002502030430000","血浆纤溶酶原活性测定(PLGA)","每周","1","化验"
"002502030440000","血浆纤溶酶原抗原测定(PLGAg)","每周","1","化验"
"002502030460000","血浆α2纤溶酶抑制物抗原测定(α2—PIAg)","每周","1","化验"
"002502030470000","血浆抗凝血酶Ⅲ活性测定(AT—ⅢA)","每周","1","化验"
"002502030480000","血浆抗凝血酶Ⅲ抗原测定(AT—ⅢAg)","每周","1","化验"
"002502030490000","凝血酶抗凝血酶Ⅲ复合物测定(TAT)","每周","1","化验"
"002502010010000","骨髓涂片细胞学检验","每周","1","化验"
"002502010020000","骨髓有核细胞计数","每周","1","化验"
"002502010030000","骨髓巨核细胞计数","每周","1","化验"
"002502010050000","骨髓造血祖细胞培养","每周","1","化验"
"002502010050100","骨髓造血祖细胞培养(粒－单系)","每周","1","化验"
"002502010050200","骨髓造血祖细胞培养(红细胞系)","每周","1","化验"
"002502010060000","白血病免疫分型","每周","1","化验"
"002502010070000","骨髓特殊染色及酶组织化学染色检查","每周","1","化验"
"002502010080000","白血病抗原检测","每周","1","化验"
"002502020330000","血红蛋白S溶解度试验","每周","1","化验"
"002502020010000","红细胞包涵体检查","每周","1","化验"
"002502020020000","血浆游离血红蛋白测定","每周","1","化验"
"002502020030000","血清结合珠蛋白测定(HP)","每周","1","化验"
"002502020040000","高铁血红素白蛋白过筛试验","每周","1","化验"
"002502020050000","红细胞自身溶血过筛试验","每周","1","化验"
"002502020060000","红细胞自身溶血及纠正试验","每周","1","化验"
"002502020070000","红细胞渗透脆性试验","每周","1","化验"
"002502020080000","红细胞孵育渗透脆性试验","每周","1","化验"
"002502020090000","热溶血试验","每周","1","化验"
"002502020100000","冷溶血试验","每周","1","化验"
"002502020110000","蔗糖溶血试验","每周","1","化验"
"002502020120000","血清酸化溶血试验(Ham)","每周","1","化验"
"002502020140000","微量补体溶血敏感试验","每周","1","化验"
"002502020150000","蛇毒因子溶血试验","每周","1","化验"
"002502020160000","高铁血红蛋白还原试验(MHB—RT)","每周","1","化验"
"002502020180000","葡萄糖6－磷酸脱氢酶活性检测","每周","1","化验"
"002502020190000","变性珠蛋白小体检测(Heinz小体)","每周","1","化验"
"003101000230000","肌电图","每周","1","一般诊疗"
"003106020020000","肺阻抗血流图","每周","1","一般诊疗"
"002302000530000","局部骨显象","每月","1","检查"
"002207000040000","组织多普勒显象(TDI)","每月","1","检查"
"002301000010000","脏器动态扫描","每月","1","检查"
"002301000010000","脏器动态扫描","每月","1","检查"
"002301000010000","脏器动态扫描","每月","1","检查"
"002301000010000","脏器动态扫描","每月","1","检查"
"002302000010000","脑血管显象","每月","1","检查"
"002302000020000","脑显象","每月","1","检查"
"002302000020000","脑显象","每月","1","检查"
"002302000020000","脑显象","每月","1","检查"
"002302000030000","脑池显象","每月","1","检查"
"002302000040000","脑室引流显象","每月","1","检查"
"002302000050000","泪管显象","每月","1","检查"
"002302000070000","甲状腺血流显象","每月","1","检查"
"002302000090000","甲状腺激素抑制显象","每月","1","检查"
"002302000100000","促甲状腺激素兴奋显象","每月","1","检查"
"002302000100000","促甲状腺激素兴奋显象","每月","1","检查"
"002302000120000","静息心肌灌注显象","每月","1","检查"
"003112010250000","胎儿心电图","每周","1","一般诊疗"
"003103000600000","眼血流图","每周","1","一般诊疗"
"003115010021200","精神科B类量表测查(图片词汇测验)","每周","1","一般诊疗"
"003111000040000","阴茎超声血流图检查","每周","1","一般诊疗"
"003103000310000","青光眼视网膜神经纤维层计算机图象分析","每周","1","一般诊疗"
"003103000600000","眼血流图","每周","1","一般诊疗"
"003107010040000","频谱心电图","每周","1","一般诊疗"
"003107010140000","心阻抗图","每周","1","一般诊疗"
"003107010140001","心阻抗图(心导纳图酌情加收)","每周","1","一般诊疗"
"003105150070500","腭裂术后语音训练治疗(腭电图仪反馈治疗)","每周","1","一般诊疗"
"003103000660000","视网膜地形图","每周","1","一般诊疗"
"003104030010000","喉声图","每周","1","一般诊疗"
"003104030030000","喉电图测试","每周","1","一般诊疗"
"003105040030000","面神经肌电图检查","每周","1","一般诊疗"
"003107010050000","标测心电图","每周","1","一般诊疗"
"003107010060000","体表窦房结心电图","每周","1","一般诊疗"
"003104010210000","眼震电图","每周","1","一般诊疗"
"003104010210200","眼震电图(自发眼震)","每周","1","一般诊疗"
"003101000260000","多轨迹断层肌电图","每周","1","一般诊疗"
"003101000010001","脑电图(脑电发生源定位)","每周","1","一般诊疗"
"003101000060000","脑磁图","每周","1","一般诊疗"
"003108000260000","骨髓细胞彩色图象分析","每周","1","一般诊疗"
"004800000020000","脉图诊断","每周","1","一般诊疗"
"003103000020100","特殊视力检查(儿童图形视力表)","每周","1","一般诊疗"
"003103000200100","色觉检查(普通图谱法)","每周","1","一般诊疗"
"003103000650100","视网膜电流图(ERG)(图形视网膜电图(P-ERG))","每周","1","一般诊疗"
"003103000650200","视网膜电流图(ERG)(多焦视网膜电图(m-ERG))","每周","1","一般诊疗"
"003104010100100","声导抗测听(鼓室图)","每周","1","一般诊疗"
"003104010210100","眼震电图(温度试验)","每周","1","一般诊疗"
"002302000580000","亲肿瘤局部显象","每月","1","检查"
"002302000580000","亲肿瘤局部显象","每月","1","检查"
"002303000020000","全身显像","每月","1","检查"
"002303000030000","18氟－脱氧葡萄糖断层显象","每月","1","检查"
"002303000040000","肾上腺髓质断层显象","每月","1","检查"
"002302000060000","甲状腺静态显象","每月","1","检查"
"002302000110000","甲状旁腺显象","每月","1","检查"
"002302000180000","平衡法负荷门控心室显象","每月","1","检查"
"002302000180000","平衡法负荷门控心室显象","每月","1","检查"
"002302000230000","下肢深静脉显象","每月","1","检查"
"002302000240000","局部淋巴显象","每月","1","检查"
"002302000240000","局部淋巴显象","每月","1","检查"
"002302000240000","局部淋巴显象","每月","1","检查"
"002302000250000","肺灌注显象","每月","1","检查"
"002302000250000","肺灌注显象","每月","1","检查"
"002302000250000","肺灌注显象","每月","1","检查"
"002302000260000","肺通气显象","每月","1","检查"
"002302000260000","肺通气显象","每月","1","检查"
"002302000260000","肺通气显象","每月","1","检查"
"002302000270000","唾液腺静态显象","每月","1","检查"
"002302000280000","唾液腺动态显象","每月","1","检查"
"002302000330000","异位胃粘膜显象","每月","1","检查"
"002302000340000","消化道出血显象","每月","1","检查"
"002302000370000","肝血池显象","每月","1","检查"
"002302000370000","肝血池显象","每月","1","检查"
"002302000460000","肾动态显象＋肾小球滤过率(GFR)测定","每月","1","检查"
"002302000470000","肾动态显象＋肾有效血浆流量(ERPF)测定","每月","1","检查"
"002302000520000","阴囊显象","每月","1","检查"
"002302000540000","骨三相显象","每月","1","检查"
"002302000540000","骨三相显象","每月","1","检查"
"002302000440000","地塞米松抑制试验肾上腺皮质显象","每月","1","检查"
"002304000070000","肿瘤全身断层显象","每月","1","检查"
"002302000100000","促甲状腺激素兴奋显象","每月","1","检查"
"002302000420000","肠道蛋白丢失显象","每月","1","检查"
"002302000570000","炎症局部显象","每月","1","检查"
"002302000590000","放射免疫显象","每月","1","检查"
"002302000600000","放射受体显象","每月","1","检查"
"002303000050000","负荷心肌灌注断层显象","每月","1","检查"
"002304000010000","脑血流断层显象","每月","1","检查"
"002304000020000","脑代谢断层显象","每月","1","检查"
"002304000030000","静息心肌灌注断层显象","每月","1","检查"
"002304000040000","负荷心肌灌注断层显象","每月","1","检查"
"002304000050000","心肌代谢断层显象","每月","1","检查"
"002304000060000","心脏神经受体断层显象","每月","1","检查"
"002304000070000","肿瘤全身断层显象","每月","1","检查"
"002304000080000","肿瘤局部断层显象","每月","1","检查"
"002302000120000","静息心肌灌注显象","每月","1","检查"
"002302000120000","静息心肌灌注显象","每月","1","检查"
"002302000130000","负荷心肌灌注显象","每月","1","检查"
"002302000130000","负荷心肌灌注显象","每月","1","检查"
"002302000130000","负荷心肌灌注显象","每月","1","检查"
"002302000140000","静息门控心肌灌注显象","每月","1","检查"
"002302000140000","静息门控心肌灌注显象","每月","1","检查"
"002302000450000","肾动态显象","每月","1","检查"
"002302000450000","肾动态显象","每月","1","检查"
"002304000090000","神经受体显象","每月","1","检查"
"002302000370000","肝血池显象","每月","1","检查"
"002302000140000","静息门控心肌灌注显象","每月","1","检查"
"002302000150000","负荷门控心肌灌注显象","每月","1","检查"
"002302000150000","负荷门控心肌灌注显象","每月","1","检查"
"002302000150000","负荷门控心肌灌注显象","每月","1","检查"
"002302000160000","首次通过法心血管显象","每月","1","检查"
"002302000160000","首次通过法心血管显象","每月","1","检查"
"002302000170000","平衡法门控心室显象","每月","1","检查"
"002302000170000","平衡法门控心室显象","每月","1","检查"
"002302000170000","平衡法门控心室显象","每月","1","检查"
"002302000190000","急性心肌梗塞灶显象","每月","1","检查"
"002302000190000","急性心肌梗塞灶显象","每月","1","检查"
"002302000190000","急性心肌梗塞灶显象","每月","1","检查"
"002302000200000","动脉显象","每月","1","检查"
"002302000210000","门脉血流测定显象","每月","1","检查"
"002302000220000","门体分流显象","每月","1","检查"
"002302000290000","食管通过显象","每月","1","检查"
"002302000300000","胃食管返流显象","每月","1","检查"
"002302000310000","十二指肠胃返流显象","每月","1","检查"
"002302000350000","肝胶体显象","每月","1","检查"
"002302000350000","肝胶体显象","每月","1","检查"
"002302000350000","肝胶体显象","每月","1","检查"
"002302000360000","肝血流显象","每月","1","检查"
"002302000370000","肝血池显象","每月","1","检查"
"002302000380000","肝胆动态显象","每月","1","检查"
"002302000390000","脾显象","每月","1","检查"
"002302000400000","胰腺显象","每月","1","检查"
"002302000410000","小肠功能显象","每月","1","检查"
"002302000430000","肾上腺皮质显象","每月","1","检查"
"002302000480000","介入肾动态显象","每月","1","检查"
"002302000490000","肾静态显象","每月","1","检查"
"002302000490000","肾静态显象","每月","1","检查"
"002302000490000","肾静态显象","每月","1","检查"
"002302000500000","膀胱输尿管返流显象","每月","1","检查"
"002302000510000","阴道尿道瘘显象","每月","1","检查"
"002302000530000","局部骨显象","每月","1","检查"
"002302000530000","局部骨显象","每月","1","检查"
"002302000060000","甲状腺静态显象","每月","1","检查"
"002302000580000","亲肿瘤局部显象","每月","1","检查"
"002303000010100","脏器断层显像(脏器显像)","每月","1","检查"
"002303000010200","脏器断层显像(脏器血流显像)","每月","1","检查"
"002303000010300","脏器断层显像(脏器血池显像)","每月","1","检查"
"002303000010400","脏器断层显像(静息灌注显像)","每月","1","检查"
"002303000020001","全身显像(增加局部显像)","每月","1","检查"
"002303000030100","18氟－脱氧葡萄糖断层显象(脑显像)","每月","1","检查"
"002303000030200","18氟－脱氧葡萄糖断层显象(心肌代谢显像)","每月","1","检查"
"002303000030300","18氟－脱氧葡萄糖断层显象(肿瘤显像)","每月","1","检查"
"002302000060000","甲状腺静态显象","每月","1","检查"
"002302000180000","平衡法负荷门控心室显象","每月","1","检查"
"002303000010000","脏器断层显像","每月","1","检查"
"002304000100000","正电子发射计算机断层－X线计算机体层综合显像(PET/CT)","每月","1","检查"
"002302000450002","肾动态显像(不做血流显像)减收修改为肾动态显像(不做血流显像减收)","每月","1","检查"
"003107010030000","动态心电图","每月","1","一般诊疗"
"003101000040000","动态脑电图","每月","1","一般诊疗"
"003101000040000","动态脑电图","每月","1","一般诊疗"
"003109020020000","24小时动态胃酸监测","每月","1","一般诊疗"
"003107010210000","动态血压监测","每月","1","一般诊疗"
